"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.210024583E0,2.334849596E0,-4.312036633E-1,-2.105081797E0,3.173141756E0
2.220006583E0,2.344929695E0,-7.350849509E-1,-2.229736090E0,3.318247759E0
2.229988583E0,2.270928383E0,-9.866106510E-1,-2.315679073E0,3.390115908E0
2.239970583E0,2.146169901E0,-1.148591518E0,-2.338550329E0,3.375518532E0
2.249952583E0,2.005614996E0,-1.229117990E0,-2.281158924E0,3.276722231E0
2.259934583E0,1.878711820E0,-1.265217543E0,-2.171263456E0,3.137629444E0
2.269916583E0,1.783227324E0,-1.250530243E0,-2.044962406E0,2.987573735E0
2.279898583E0,1.713564038E0,-1.214576483E0,-1.899228573E0,2.831707421E0
2.289880583E0,1.636569142E0,-1.170900702E0,-1.755118489E0,2.670170018E0
2.299862583E0,1.522230744E0,-1.124702334E0,-1.607141137E0,2.482950748E0
2.309844583E0,1.366930366E0,-1.048767805E0,-1.471897483E0,2.266030612E0
2.319826583E0,1.148530006E0,-9.316244125E-1,-1.337697625E0,1.994111371E0
2.329808583E0,8.713654876E-1,-7.631291747E-1,-1.192251444E0,1.662259744E0
2.339790583E0,5.674430728E-1,-5.675258040E-1,-1.023749590E0,1.300822971E0
2.349772583E0,2.460728139E-1,-3.384308219E-1,-8.273643851E-1,9.271564467E-1
2.359754583E0,-8.924645185E-2,-6.299382448E-2,-5.954524875E-1,6.053898049E-1
2.369736583E0,-3.865822554E-1,2.173483521E-1,-3.321697116E-1,5.540964389E-1
2.379718583E0,-5.742167830E-1,5.024720430E-1,-5.605528131E-2,7.650785989E-1
2.389700583E0,-6.673967838E-1,7.783837914E-1,1.740847081E-1,1.040002538E0
2.399682583E0,-7.096894979E-1,9.628245234E-1,3.599771857E-1,1.249109211E0
2.409664583E0,-7.771571875E-1,1.000659108E0,5.205250382E-1,1.369758468E0
2.419646583E0,-8.759747148E-1,9.040515423E-1,6.876381040E-1,1.434394316E0
2.429628583E0,-9.733390808E-1,7.786806226E-1,8.806786537E-1,1.526213409E0
2.439610583E0,-1.072586775E0,6.607212424E-1,1.136605620E0,1.696722513E0
2.449592583E0,-1.159407139E0,5.606306195E-1,1.436356425E0,1.929158206E0
2.459574583E0,-1.239055872E0,5.079963207E-1,1.751483202E0,2.204770537E0
2.469556583E0,-1.321643949E0,5.187941194E-1,2.049084902E0,2.492917768E0
2.479538583E0,-1.419442296E0,4.959186018E-1,2.296450615E0,2.744892916E0
2.489520583E0,-1.542917848E0,4.322906137E-1,2.494779587E0,2.965028810E0
2.499502583E0,-1.655832648E0,3.720522821E-1,2.660842180E0,3.155992042E0
